"brand","model","trim","year","body_type","fuel_type","transmission","engine_size","seat_count","drivetrain","price","mileage","origin","color","city","posted_date","source","url"
,,"Mua bán xe ô tô Toyota Yaris cũ",,,,,,,,"365 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-toyota-yaris"
,,"Mua bán xe ô tô Toyota Wigo cũ",,,,,,,,"389 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-toyota-wigo"
,,"Mua bán xe ô tô Toyota Hilux cũ",,,,,,,,"560 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-toyota-hilux"
,,"Mua bán xe ô tô Toyota 4 Runner cũ",,,,,,,,"1 tỉ 560 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-toyota-4-runner"
,,"Mua bán xe ô tô Toyota Alphard cũ",,,,,,,,"3 tỉ 299 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-toyota-alphard"
,,"Mua bán xe ô tô Toyota Avalon cũ",,,,,,,,"445 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-toyota-avalon"
,,"Mua bán xe ô tô Toyota Avanza cũ",,,,,,,,"485 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-toyota-avanza"
,,"Mua bán xe ô tô Toyota Avanza Premio cũ",,,,,,,,"440 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-toyota-avanza-premio"
,,"Mua bán xe ô tô Toyota Aygo cũ",,,,,,,,"445 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-toyota-aygo"
,,"Mua bán xe ô tô Toyota Corolla cũ",,,,,,,,"46 triệu",,,"","Toàn quốc
Toàn quốc
Miền Bắc
Hà Nội
Bắc Ninh
Hải Phòng
Hải Dương
Bắc Giang
Bắc Kạn
Cao Bằng
Điện Biên
Hòa Bình
Hà Giang
Hà Nam
Hưng Yên
Lào Cai
Lai Châu
Lạng Sơn
Ninh Bình
Nam Định
Phú Thọ
Quảng Ninh
Sơn La
Thái Bình
Thái Nguyên
Tuyên Quang
Vĩnh Phúc
Yên Bái
Miền Trung
Đà Nẵng
Thanh Hóa
Khánh Hòa
Nghệ An
Bình Định
Bình Thuận
Đắk Lắk
Đắk Nông
Gia Lai
Hà Tĩnh
Kon Tum
Lâm Đồng
Ninh Thuận
Phú Yên
Quảng Bình
Quảng Nam
Quảng Ngãi
Quảng Trị
Thừa Thiên Huế
Miền Nam
Tp.HCM
Đồng Nai
Bình Dương
Cần Thơ
An Giang
Bạc Liêu
Bình Phước
Bến Tre
Cà Mau
Đồng Tháp
Hậu Giang
Kiên Giang
Long An
Sóc Trăng
Tiền Giang
Tây Ninh
Trà Vinh
Vĩnh Long
Bà Rịa Vũng Tàu",,"oto.com.vn","https://oto.com.vn/mua-ban-xe-toyota-corolla"
