"bien_co","so_luong","xac_suat","xac_suat_pct"
"P(Tự động)",21742,0.85541173230515,"85.54%"
"P(Số sàn)",3654,0.143762049022308,"14.38%"
"P(CVT)",0,0,"0%"
"P(Gia cao >= Q75)",6375,0.250816382735964,"25.08%"
"P(Mileage cao >= Q75)",4767,0.187551638667034,"18.76%"
"P(Xe moi 0-3 nam)",8368,0.329228469134831,"32.92%"
"P(Xe tren 12 nam)",3777,0.148601329818625,"14.86%"
