brand,model,trim,year,body_type,fuel_type,transmission,engine_size,seat_count,drivetrain,price,mileage,origin,color,city,posted_date,source,url
MG,MG5,,2024,,Xăng,Số sàn,,5,,265000000,17000,,,Gia Lai,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-chu-se-gia-lai/132997757.htm
MG,HS,Trophy 1.5 AT 2WD,2021,,Xăng,Tự động,,,,425000000,50000,,,Tp Hồ Chí Minh,22-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132543119.htm
TOYOTA,WIGO,,2026,Hatchback,Xăng,Tự động,,5,,387000000,,Nhập khẩu,,Tp Hồ Chí Minh,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/132997686.htm
VINFAST,VF5,,2025,Hatchback,Điện,Tự động,,5,,450000000,,Trong nước,,Tp Hồ Chí Minh,03-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/105819944.htm
CHEVROLET,ORLANDO,,2017,,Xăng,Số sàn,,,,195000000,280000,,,Đồng Nai,16-04-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-bien-hoa-dong-nai/132011000.htm
TOYOTA,INNOVA,2.0E,2019,MPV,Xăng,Số sàn,2,8,RWD,392000000,76000,Trong nước,,Tp Hồ Chí Minh,02-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-go-vap-tp-ho-chi-minh/132754225.htm
KIA,CERATO,,2018,Sedan,Xăng,Tự động,,5,,369000000,84000,,,Tp Hồ Chí Minh,16-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/132498647.htm
VINFAST,VF5 PLUS,,2026,SUV,Điện,Tự động,,5,,430000000,,Trong nước,,Tp Hồ Chí Minh,11-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132919881.htm
TOYOTA,VIOS,1.5E,2018,Sedan,Xăng,Tự động,,,,325000000,80000,Trong nước,,Hà Nội,10-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/132893581.htm
VINFAST,VF5 PLUS,,2026,SUV,Điện,Tự động,,5,,440000000,,Trong nước,,Hà Nội,16-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-dong-da-ha-noi/124488962.htm?ad_delivery=true&event_source=ad_list
VINFAST,FADIL,,2020,,Xăng,Tự động,,5,,285000000,60000,Trong nước,,Đà Nẵng,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-hai-chau-da-nang/132997665.htm
MAZDA,3,,2020,,Xăng,Tự động,,5,,480000000,29269,Nhập khẩu,,Tp Hồ Chí Minh,29-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132674453.htm
HYUNDAI,KONA,2.0 AT ĐẶC BIỆT,2019,SUV,Xăng,Tự động,2,5,FWD,455000000,98698,Trong nước,,Phú Thọ,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-viet-tri-phu-tho/131869620.htm
VINFAST,LIMO GREEN,,2026,SUV,Điện,Tự động,,7,,620000000,,Trong nước,,Hà Nội,16-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-dong-da-ha-noi/125958745.htm?ad_delivery=true&event_source=ad_list
HYUNDAI,SOLATI,Hyundai Solati,2019,SUV,Dầu,Số sàn,2.5,10,RWD,785000000,134000,Trong nước,,Tp Hồ Chí Minh,15-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/132997628.htm
AUDI,A4,,2014,Sedan,Xăng,Tự động,,5,,489000000,65000,Nhập khẩu,,Tp Hồ Chí Minh,16-04-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/127926063.htm
KIA,MORNING,1.0 AT Sport,2012,Hatchback,Xăng,Tự động,,,,220000000,87612,Nhập khẩu,,Long An,16-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-duc-hoa-long-an/132206862.htm
